epoch,train_loss,train_stack1_loss,train_stack2_loss,val_loss,val_stack1_loss,val_stack2_loss,val_nme_stack1,val_nme_stack2,val_nme,stack2_nme_improvement_over_stack1,valid_nme_samples,learning_rate,elapsed_seconds
16.0,0.0002201393932045903,0.00011436148439436996,0.00010577790882477226,0.00017783453306765296,9.103076458268333e-05,8.680376818665536e-05,0.031244708225131035,0.031016310676932335,0.031016310676932335,0.00022839754819869995,4000.0,0.0001,162.06054418600024
17.0,0.0002214155250662265,0.0001149406511993018,0.00010647487374565875,0.00018624215456657111,9.446706005837768e-05,9.177509379514959e-05,0.031077982857823372,0.031059671193361282,0.031059671193361282,1.831166446208954e-05,4000.0,0.0001,161.4064675310001
18.0,0.00021761171360332,0.00011299238449201867,0.00010461932884936687,0.00018393751120311208,9.487300550244981e-05,8.906450575159397e-05,0.03147829696536064,0.03131650760769844,0.03131650760769844,0.00016178935766220093,4000.0,5e-05,160.64293071999964
19.0,0.00019747882448266157,0.0001023091174316101,9.516970715857395e-05,0.000166330267500598,8.533629887824645e-05,8.099396860052366e-05,0.030482923611998558,0.03048642724752426,0.03048642724752426,-3.50363552570343e-06,4000.0,5e-05,160.8906608919997
20.0,0.0001948322014326954,0.00010083094988416027,9.400125171749904e-05,0.00016970991689595395,8.740780845255359e-05,8.230210770852863e-05,0.030394382774829865,0.03045119345188141,0.03045119345188141,-5.681067705154419e-05,4000.0,5e-05,160.78207230999942
21.0,0.00019432093847879313,0.00010052378626197525,9.379715199692226e-05,0.00016253530835092533,8.171640125510748e-05,8.081890724861296e-05,0.030088262632489204,0.02993796579539776,0.02993796579539776,0.00015029683709144592,4000.0,5e-05,160.56197729300038
22.0,0.00019379562824097877,0.00010025228986827035,9.35433384357667e-05,0.00016031207001651637,8.167259704350727e-05,7.863947294390527e-05,0.03000890277326107,0.02989509142935276,0.02989509142935276,0.00011381134390830994,4000.0,5e-05,159.44165658200018
23.0,0.0001928849957184866,9.973429155717087e-05,9.315070404570886e-05,0.0001613352148415288,8.204747794661671e-05,7.928773669846123e-05,0.030072657391428947,0.0298859104514122,0.0298859104514122,0.00018674694001674652,4000.0,5e-05,160.8473214659998
24.0,0.0001920201229901674,9.933482828233132e-05,9.268529469490103e-05,0.00016216569827520288,8.230675652885111e-05,7.985894195007859e-05,0.030081642791628838,0.02984248846769333,0.02984248846769333,0.00023915432393550873,4000.0,5e-05,160.39186936899932
25.0,0.00019067146142414358,9.858495884206302e-05,9.208650254812609e-05,0.00015512403911270667,7.975007975619519e-05,7.537395969120553e-05,0.029617102816700935,0.029652992263436317,0.029652992263436317,-3.588944673538208e-05,4000.0,5e-05,160.91586431900032
